"Zip","LessThan10K","MoreThan10K","MoreThan25K","MoreThan50K"
"90001","0.2","0.5","0.26","0.05"
"90001","0.2","0.5","0.26","0.05"
"90002","0.22","0.48","0.25","0.05"
"90002","0.22","0.48","0.25","0.05"
"90003","0.23","0.48","0.24","0.04"
"90003","0.23","0.48","0.24","0.04"
"90005","0.22","0.45","0.23","0.1"
"90005","0.22","0.45","0.23","0.1"
"90006","0.24","0.51","0.21","0.04"
"90006","0.24","0.51","0.21","0.04"
"90007","0.28","0.45","0.21","0.06"
"90007","0.28","0.45","0.21","0.06"
"90011","0.23","0.52","0.22","0.03"
"90011","0.23","0.52","0.22","0.03"
"90012","0.26","0.38","0.2","0.16"
"90012","0.26","0.38","0.2","0.16"
"90013","0.3","0.37","0.17","0.15"
"90013","0.3","0.37","0.17","0.15"
"90014","0.26","0.43","0.19","0.12"
"90014","0.26","0.43","0.19","0.12"
"90015","0.24","0.49","0.21","0.07"
"90015","0.24","0.49","0.21","0.07"
"90017","0.26","0.47","0.16","0.11"
"90017","0.26","0.47","0.16","0.11"
"90018","0.21","0.42","0.28","0.1"
"90018","0.21","0.42","0.28","0.1"
"90020-0001","0.21","0.41","0.27","0.11"
"90020-0001","0.21","0.41","0.27","0.11"
"90021","0.26","0.41","0.18","0.15"
"90021","0.26","0.41","0.18","0.15"
"90028","0.22","0.4","0.28","0.1"
"90028","0.22","0.4","0.28","0.1"
"90029","0.23","0.44","0.25","0.08"
"90029","0.23","0.44","0.25","0.08"
"90031","0.23","0.41","0.26","0.09"
"90031","0.23","0.41","0.26","0.09"
"90033","0.23","0.47","0.24","0.05"
"90033","0.23","0.47","0.24","0.05"
"90037","0.24","0.48","0.23","0.04"
"90037","0.24","0.48","0.23","0.04"
"90038","0.21","0.43","0.26","0.09"
"90038","0.21","0.43","0.26","0.09"
"90044","0.23","0.45","0.25","0.07"
"90044","0.23","0.45","0.25","0.07"
"90055","0.26","0.41","0.25","0.08"
"90055","0.26","0.41","0.25","0.08"
"90057","0.24","0.48","0.22","0.05"
"90057","0.24","0.48","0.22","0.05"
"90058","0.24","0.43","0.21","0.12"
"90058","0.24","0.43","0.21","0.12"
"90059","0.23","0.44","0.26","0.07"
"90059","0.23","0.44","0.26","0.07"
"90062","0.21","0.41","0.29","0.09"
"90062","0.21","0.41","0.29","0.09"
"90070","0.22","0.33","0.32","0.14"
"90070","0.22","0.33","0.32","0.14"
"90078","0.24","0.3","0.29","0.17"
"90078","0.24","0.3","0.29","0.17"
"90089","0.3","0.34","0.19","0.16"
"90089","0.3","0.34","0.19","0.16"
"90093","0.24","0.28","0.32","0.17"
"90093","0.24","0.28","0.32","0.17"
"90263","0.63","0.17","0.11","0.09"
"90263","0.63","0.17","0.11","0.09"
"90310","0.28","0.31","0.3","0.11"
"90310","0.28","0.31","0.3","0.11"
"90408","0.24","0.18","0.29","0.3"
"90408","0.24","0.18","0.29","0.3"
"90813","0.25","0.47","0.23","0.05"
"90813","0.25","0.47","0.23","0.05"
"91114","0.22","0.31","0.31","0.16"
"91114","0.22","0.31","0.31","0.16"
"91125","0.24","0.5","0.15","0.11"
"91125","0.24","0.5","0.15","0.11"
"91205","0.24","0.33","0.28","0.16"
"91205","0.24","0.33","0.28","0.16"
"91305","0.24","0.27","0.35","0.14"
"91305","0.24","0.27","0.35","0.14"
"91330","0.45","0.23","0.23","0.09"
"91330","0.45","0.23","0.23","0.09"
"91603","0.21","0.25","0.31","0.23"
"91603","0.21","0.25","0.31","0.23"
"91733","0.21","0.42","0.27","0.1"
"91733","0.21","0.42","0.27","0.1"
"91755","0.21","0.29","0.27","0.23"
"91755","0.21","0.29","0.27","0.23"
"91770","0.22","0.34","0.28","0.16"
"91770","0.22","0.34","0.28","0.16"
"91776","0.21","0.32","0.29","0.18"
"91776","0.21","0.32","0.29","0.18"
"91785","0.23","0.2","0.27","0.3"
"91785","0.23","0.2","0.27","0.3"
"91934","0.24","0.3","0.29","0.17"
"91934","0.24","0.3","0.29","0.17"
"91963","0.21","0.32","0.27","0.21"
"91963","0.21","0.32","0.27","0.21"
"91980","0.21","0.51","0.23","0.05"
"91980","0.21","0.51","0.23","0.05"
"92105","0.22","0.41","0.27","0.1"
"92105","0.22","0.41","0.27","0.1"
"92112","0.21","0.37","0.25","0.17"
"92112","0.21","0.37","0.25","0.17"
"92113","0.22","0.46","0.26","0.06"
"92113","0.22","0.46","0.26","0.06"
"92162","0.21","0.29","0.36","0.14"
"92162","0.21","0.29","0.36","0.14"
"92173","0.22","0.45","0.25","0.08"
"92173","0.22","0.45","0.25","0.08"
"92202","0.21","0.45","0.26","0.08"
"92202","0.21","0.45","0.26","0.08"
"92203","0.23","0.39","0.25","0.13"
"92203","0.23","0.39","0.25","0.13"
"92225","0.22","0.29","0.23","0.26"
"92225","0.22","0.29","0.23","0.26"
"92227","0.25","0.31","0.23","0.22"
"92227","0.25","0.31","0.23","0.22"
"92230","0.25","0.4","0.24","0.11"
"92230","0.25","0.4","0.24","0.11"
"92231","0.35","0.41","0.16","0.08"
"92231","0.35","0.41","0.16","0.08"
"92232","0.3","0.43","0.19","0.07"
"92232","0.3","0.43","0.19","0.07"
"92233","0.26","0.28","0.26","0.21"
"92233","0.26","0.28","0.26","0.21"
"92236","0.24","0.48","0.23","0.05"
"92236","0.24","0.48","0.23","0.05"
"92240","0.21","0.39","0.27","0.13"
"92240","0.21","0.39","0.27","0.13"
"92242","0.21","0.37","0.24","0.17"
"92242","0.21","0.37","0.24","0.17"
"92243","0.24","0.33","0.22","0.21"
"92243","0.24","0.33","0.22","0.21"
"92249","0.27","0.39","0.23","0.11"
"92249","0.27","0.39","0.23","0.11"
"92250","0.21","0.32","0.25","0.22"
"92250","0.21","0.32","0.25","0.22"
"92252","0.22","0.32","0.27","0.19"
"92252","0.22","0.32","0.27","0.19"
"92254","0.31","0.53","0.14","0.02"
"92254","0.31","0.53","0.14","0.02"
"92257","0.29","0.35","0.24","0.12"
"92257","0.29","0.35","0.24","0.12"
"92258","0.27","0.43","0.23","0.07"
"92258","0.27","0.43","0.23","0.07"
"92266","0.32","0.32","0.22","0.14"
"92266","0.32","0.32","0.22","0.14"
"92273","0.23","0.35","0.3","0.12"
"92273","0.23","0.35","0.3","0.12"
"92274","0.26","0.5","0.19","0.05"
"92274","0.26","0.5","0.19","0.05"
"92275","0.22","0.34","0.28","0.16"
"92275","0.22","0.34","0.28","0.16"
"92281","0.24","0.38","0.25","0.12"
"92281","0.24","0.38","0.25","0.12"
"92283","0.26","0.47","0.21","0.06"
"92283","0.26","0.47","0.21","0.06"
"92284","0.21","0.27","0.28","0.24"
"92284","0.21","0.27","0.28","0.24"
"92285","0.26","0.38","0.26","0.1"
"92285","0.26","0.38","0.26","0.1"
"92311","0.21","0.27","0.27","0.26"
"92311","0.21","0.27","0.27","0.26"
"92314","0.22","0.25","0.25","0.27"
"92314","0.22","0.25","0.25","0.27"
"92315","0.22","0.27","0.24","0.27"
"92315","0.22","0.27","0.24","0.27"
"92321","0.25","0.27","0.21","0.27"
"92321","0.25","0.27","0.21","0.27"
"92341","0.23","0.21","0.19","0.37"
"92341","0.23","0.21","0.19","0.37"
"92347","0.22","0.24","0.31","0.23"
"92347","0.22","0.24","0.31","0.23"
"92356","0.24","0.3","0.28","0.18"
"92356","0.24","0.3","0.28","0.18"
"92363","0.25","0.31","0.21","0.22"
"92363","0.25","0.31","0.21","0.22"
"92365","0.23","0.25","0.27","0.26"
"92365","0.23","0.25","0.27","0.26"
"92368","0.22","0.37","0.27","0.14"
"92368","0.22","0.37","0.27","0.14"
"92386","0.24","0.32","0.26","0.18"
"92386","0.24","0.32","0.26","0.18"
"92401","0.31","0.44","0.17","0.08"
"92401","0.31","0.44","0.17","0.08"
"92404","0.21","0.32","0.27","0.2"
"92404","0.21","0.32","0.27","0.2"
"92408","0.24","0.37","0.26","0.13"
"92408","0.24","0.37","0.26","0.13"
"92410","0.26","0.42","0.25","0.07"
"92410","0.26","0.42","0.25","0.07"
"92411","0.24","0.42","0.27","0.07"
"92411","0.24","0.42","0.27","0.07"
"92515","0.24","0.29","0.27","0.2"
"92515","0.24","0.29","0.27","0.2"
"92543","0.22","0.38","0.27","0.13"
"92543","0.22","0.38","0.27","0.13"
"92548","0.21","0.36","0.29","0.14"
"92548","0.21","0.36","0.29","0.14"
"92700","0.22","0.2","0.33","0.25"
"92700","0.22","0.2","0.33","0.25"
"93016","0.22","0.42","0.22","0.14"
"93016","0.22","0.42","0.22","0.14"
"93032","0.24","0.46","0.23","0.08"
"93032","0.24","0.46","0.23","0.08"
"93107","0.41","0.28","0.21","0.1"
"93107","0.41","0.28","0.21","0.1"
"93117","0.21","0.24","0.23","0.31"
"93117","0.21","0.24","0.23","0.31"
"93150","0.22","0.14","0.24","0.4"
"93150","0.22","0.14","0.24","0.4"
"93201","0.3","0.41","0.19","0.11"
"93201","0.3","0.41","0.19","0.11"
"93202","0.21","0.38","0.29","0.12"
"93202","0.21","0.38","0.29","0.12"
"93203","0.26","0.5","0.19","0.05"
"93203","0.26","0.5","0.19","0.05"
"93204","0.24","0.47","0.22","0.07"
"93204","0.24","0.47","0.22","0.07"
"93205","0.24","0.34","0.25","0.17"
"93205","0.24","0.34","0.25","0.17"
"93206","0.22","0.41","0.26","0.1"
"93206","0.22","0.41","0.26","0.1"
"93212","0.22","0.37","0.27","0.14"
"93212","0.22","0.37","0.27","0.14"
"93215","0.24","0.44","0.22","0.1"
"93215","0.24","0.44","0.22","0.1"
"93216","0.26","0.52","0.16","0.07"
"93216","0.26","0.52","0.16","0.07"
"93218","0.53","0.27","0.13","0.07"
"93218","0.53","0.27","0.13","0.07"
"93219","0.29","0.52","0.16","0.03"
"93219","0.29","0.52","0.16","0.03"
"93220","0.22","0.41","0.24","0.13"
"93220","0.22","0.41","0.24","0.13"
"93221","0.21","0.29","0.24","0.26"
"93221","0.21","0.29","0.24","0.26"
"93223","0.25","0.46","0.22","0.07"
"93223","0.25","0.46","0.22","0.07"
"93227","0.25","0.46","0.24","0.05"
"93227","0.25","0.46","0.24","0.05"
"93234","0.29","0.51","0.17","0.03"
"93234","0.29","0.51","0.17","0.03"
"93235","0.24","0.44","0.24","0.07"
"93235","0.24","0.44","0.24","0.07"
"93239","0.22","0.55","0.19","0.04"
"93239","0.22","0.55","0.19","0.04"
"93240","0.24","0.29","0.24","0.23"
"93240","0.24","0.29","0.24","0.23"
"93241","0.27","0.51","0.19","0.04"
"93241","0.27","0.51","0.19","0.04"
"93244","0.21","0.26","0.28","0.26"
"93244","0.21","0.26","0.28","0.26"
"93247","0.26","0.42","0.21","0.11"
"93247","0.26","0.42","0.21","0.11"
"93250","0.26","0.46","0.21","0.07"
"93250","0.26","0.46","0.21","0.07"
"93251","0.24","0.14","0.4","0.21"
"93251","0.24","0.14","0.4","0.21"
"93256","0.22","0.42","0.28","0.07"
"93256","0.22","0.42","0.28","0.07"
"93257","0.23","0.35","0.23","0.18"
"93257","0.23","0.35","0.23","0.18"
"93258","0.33","0.44","0.16","0.06"
"93258","0.33","0.44","0.16","0.06"
"93261","0.38","0.49","0.12","0.02"
"93261","0.38","0.49","0.12","0.02"
"93263","0.24","0.37","0.25","0.14"
"93263","0.24","0.37","0.25","0.14"
"93266","0.22","0.42","0.25","0.1"
"93266","0.22","0.42","0.25","0.1"
"93267","0.36","0.38","0.17","0.09"
"93267","0.36","0.38","0.17","0.09"
"93270","0.41","0.38","0.13","0.08"
"93270","0.41","0.38","0.13","0.08"
"93274","0.21","0.32","0.27","0.2"
"93274","0.21","0.32","0.27","0.2"
"93280","0.24","0.4","0.24","0.12"
"93280","0.24","0.4","0.24","0.12"
"93283","0.26","0.32","0.25","0.18"
"93283","0.26","0.32","0.25","0.18"
"93285","0.22","0.3","0.24","0.24"
"93285","0.22","0.3","0.24","0.24"
"93286","0.22","0.41","0.24","0.12"
"93286","0.22","0.41","0.24","0.12"
"93291","0.23","0.33","0.23","0.21"
"93291","0.23","0.33","0.23","0.21"
"93301","0.24","0.35","0.22","0.18"
"93301","0.24","0.35","0.22","0.18"
"93304","0.22","0.36","0.27","0.15"
"93304","0.22","0.36","0.27","0.15"
"93305","0.26","0.39","0.22","0.13"
"93305","0.26","0.39","0.22","0.13"
"93307","0.24","0.41","0.24","0.11"
"93307","0.24","0.41","0.24","0.11"
"93383","0.21","0.42","0.27","0.1"
"93383","0.21","0.42","0.27","0.1"
"93385","0.25","0.5","0.16","0.09"
"93385","0.25","0.5","0.16","0.09"
"93387","0.24","0.53","0.17","0.06"
"93387","0.24","0.53","0.17","0.06"
"93401","0.23","0.24","0.22","0.32"
"93401","0.23","0.24","0.22","0.32"
"93405","0.32","0.22","0.18","0.28"
"93405","0.32","0.22","0.18","0.28"
"93426","0.21","0.22","0.31","0.26"
"93426","0.21","0.22","0.31","0.26"
"93434","0.22","0.42","0.25","0.11"
"93434","0.22","0.42","0.25","0.11"
"93458","0.23","0.42","0.24","0.1"
"93458","0.23","0.42","0.24","0.1"
"93501","0.24","0.28","0.26","0.22"
"93501","0.24","0.28","0.26","0.22"
"93516","0.21","0.23","0.2","0.36"
"93516","0.21","0.23","0.2","0.36"
"93541","0.22","0.29","0.25","0.25"
"93541","0.22","0.29","0.25","0.25"
"93545","0.23","0.27","0.25","0.26"
"93545","0.23","0.27","0.25","0.26"
"93562","0.23","0.19","0.24","0.34"
"93562","0.23","0.19","0.24","0.34"
"93584","0.21","0.31","0.26","0.22"
"93584","0.21","0.31","0.26","0.22"
"93591","0.21","0.27","0.3","0.23"
"93591","0.21","0.27","0.3","0.23"
"93601","0.21","0.26","0.26","0.27"
"93601","0.21","0.26","0.26","0.27"
"93604","0.22","0.22","0.26","0.3"
"93604","0.22","0.22","0.26","0.3"
"93606","0.31","0.49","0.15","0.05"
"93606","0.31","0.49","0.15","0.05"
"93608","0.22","0.54","0.21","0.03"
"93608","0.22","0.54","0.21","0.03"
"93609","0.24","0.38","0.24","0.14"
"93609","0.24","0.38","0.24","0.14"
"93610","0.22","0.34","0.27","0.17"
"93610","0.22","0.34","0.27","0.17"
